max_iter ;Number Accuracy Entropy;Leter Accuracy Entropy;Number Accuracy Gini;Leter Accuracy Gini
1;0,609090909;0,472727273;0,624242424;0,487878788
2;0,581818182;0,496969697;0,596969697;0,439393939
3;0,675757576;0,548484848;0,687878788;0,557575758
4;0,757575758;0,639393939;0,742424242;0,578787879
5;0,760606061;0,63030303;0,763636364;0,636363636
6;0,787878788;0,639393939;0,784848485;0,633333333
7;0,784848485;0,721212121;0,766666667;0,663636364
8;0,790909091;0,721212121;0,796969697;0,678787879
9;0,818181818;0,703030303;0,8;0,718181818
10;0,818181818;0,727272727;0,803030303;0,687878788
20;0,854545455;0,784848485;0,866666667;0,721212121
30;0,851515152;0,793939394;0,824242424;0,748484848
40;0,848484848;0,787878788;0,857575758;0,772727273
50;0,875757576;0,784848485;0,860606061;0,806060606
60;0,851515152;0,809090909;0,863636364;0,793939394
70;0,878787879;0,803030303;0,878787879;0,781818182
80;0,872727273;0,8;0,86969697;0,787878788
90;0,872727273;0,818181818;0,86969697;0,790909091
100;0,860606061;0,806060606;0,866666667;0,784848485
200;0,866666667;0,809090909;0,878787879;0,8
300;0,878787879;0,812121212;0,872727273;0,8
400;0,878787879;0,818181818;0,872727273;0,787878788
500;0,857575758;0,803030303;0,872727273;0,787878788
600;0,878787879;0,803030303;0,875757576;0,806060606
700;0,872727273;0,806060606;0,872727273;0,790909091
800;0,851515152;0,815151515;0,881818182;0,8
900;0,860606061;0,809090909;0,881818182;0,796969697
1000;0,860606061;0,8;0,878787879;0,787878788
