max_iter ; Leter Accuracy  ovr;Leter Accuracy curray crammer;Number Accuracy  ovr;Number Accuracy crammer
1;0,460606061;0,915151515;0,657575758;0,936363636
2;0,603030303;0,915151515;0,8;0,936363636
3;0,715151515;0,915151515;0,842424242;0,936363636
4;0,727272727;0,915151515;0,872727273;0,936363636
5;0,76969697;0,915151515;0,881818182;0,936363636
6;0,809090909;0,915151515;0,9;0,936363636
7;0,827272727;0,915151515;0,890909091;0,936363636
8;0,790909091;0,915151515;0,933333333;0,936363636
9;0,854545455;0,915151515;0,912121212;0,936363636
10;0,836363636;0,915151515;0,933333333;0,936363636
20;0,903030303;0,915151515;0,933333333;0,936363636
30;0,909090909;0,915151515;0,951515152;0,936363636
40;0,9;0,915151515;0,954545455;0,936363636
50;0,893939394;0,915151515;0,948484848;0,936363636
60;0,887878788;0,915151515;0,945454545;0,936363636
70;0,890909091;0,915151515;0,945454545;0,936363636
80;0,887878788;0,915151515;0,945454545;0,936363636
90;0,890909091;0,915151515;0,945454545;0,936363636
100;0,884848485;0,915151515;0,942424242;0,936363636
200;0,887878788;0,915151515;0,942424242;0,936363636
300;0,878787879;0,915151515;0,942424242;0,936363636
400;0,884848485;0,915151515;0,942424242;0,936363636
500;0,881818182;0,915151515;0,942424242;0,936363636
600;0,881818182;0,915151515;0,942424242;0,936363636
700;0,884848485;0,915151515;0,942424242;0,936363636
800;0,884848485;0,915151515;0,942424242;0,936363636
900;0,884848485;0,915151515;0,942424242;0,936363636
1000;0,884848485;0,915151515;0,942424242;0,936363636
2000;0,884848485;0,915151515;0,942424242;0,936363636
3000;0,884848485;0,915151515;0,942424242;0,936363636
4000;0,884848485;0,915151515;0,942424242;0,936363636
5000;0,884848485;0,915151515;0,942424242;0,936363636
6000;0,884848485;0,915151515;0,942424242;0,936363636
7000;0,884848485;0,915151515;0,942424242;0,936363636
8000;0,884848485;0,915151515;0,942424242;0,936363636
9000;0,884848485;0,915151515;0,942424242;0,936363636
